# Logfile created on 2014-01-25 12:02:26 +0100 by logger.rb/44203
I, [2014-01-25T12:19:20.289879 #4310]  INFO -- : Jim Java got hole card 7 of Clubs (7, Clubs)
I, [2014-01-25T12:19:26.364179 #4310]  INFO -- : Korda György got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T12:19:26.370828 #4310]  INFO -- : guest42 got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T12:19:31.727537 #4310]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 850 chips. The pot now contains 40 chips.
I, [2014-01-25T12:19:37.010517 #4310]  INFO -- : Korda György made a bet of 80 (raise) and is left with 1000 chips. The pot now contains 120 chips.
I, [2014-01-25T12:19:42.143469 #4310]  INFO -- : guest42 made a bet of 0 (fold) and is left with 1030 chips. The pot now contains 120 chips.
I, [2014-01-25T12:19:47.281260 #4310]  INFO -- : Jim Java made a bet of 40 (call) and is left with 810 chips. The pot now contains 160 chips.
I, [2014-01-25T12:19:57.501831 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 1000 chips. The pot now contains 160 chips.
I, [2014-01-25T12:20:02.672581 #4310]  INFO -- : community card 4 of Clubs
I, [2014-01-25T12:20:07.780276 #4310]  INFO -- : community card 10 of Spades
I, [2014-01-25T12:20:13.310796 #4310]  INFO -- : community card 2 of Spades
I, [2014-01-25T12:20:18.623821 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 810 chips. The pot now contains 160 chips.
I, [2014-01-25T12:20:32.727570 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 1000 chips. The pot now contains 160 chips.
I, [2014-01-25T12:20:37.910555 #4310]  INFO -- : community card 2 of Diamonds
I, [2014-01-25T12:20:43.141936 #4310]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 730 chips. The pot now contains 240 chips.
I, [2014-01-25T12:20:53.384313 #4310]  INFO -- : Korda György made a bet of 80 (call) and is left with 920 chips. The pot now contains 320 chips.
I, [2014-01-25T12:20:58.574394 #4310]  INFO -- : community card 7 of Spades
I, [2014-01-25T12:21:04.083021 #4310]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 650 chips. The pot now contains 400 chips.
I, [2014-01-25T12:21:14.378644 #4310]  INFO -- : Korda György made a bet of 80 (call) and is left with 840 chips. The pot now contains 480 chips.
I, [2014-01-25T12:21:19.584946 #4310]  INFO -- : Jim Java showed 2 of Spades,2 of Diamonds,4 of Clubs,7 of Clubs,7 of Spades,10 of Spades,Ace of Diamonds making a two pairs
I, [2014-01-25T12:21:24.742141 #4310]  INFO -- : Jim Java won 480
I, [2014-01-25T12:21:40.649067 #4310]  INFO -- : guest42 has 1030 chips
I, [2014-01-25T12:21:40.649387 #4310]  INFO -- : Jim Java has 1130 chips
I, [2014-01-25T12:21:40.649596 #4310]  INFO -- : Korda György has 840 chips
I, [2014-01-25T12:21:45.735876 #4310]  INFO -- : Korda György got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T12:21:45.745972 #4310]  INFO -- : guest42 got hole card 3 of Diamonds (3, Diamonds)
I, [2014-01-25T12:21:45.756056 #4310]  INFO -- : Jim Java got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T12:21:50.852578 #4310]  INFO -- : Korda György got hole card 10 of Diamonds (10, Diamonds)
I, [2014-01-25T12:21:50.888782 #4310]  INFO -- : guest42 got hole card Ace of Hearts (14, Hearts)
I, [2014-01-25T12:21:51.035427 #4310]  INFO -- : Jim Java got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T12:21:56.746644 #4310]  INFO -- : Korda György made a bet of 40 (raise) and is left with 800 chips. The pot now contains 40 chips.
I, [2014-01-25T12:22:01.861000 #4310]  INFO -- : guest42 made a bet of 80 (raise) and is left with 950 chips. The pot now contains 120 chips.
I, [2014-01-25T12:22:07.025660 #4310]  INFO -- : Jim Java made a bet of 80 (call) and is left with 1050 chips. The pot now contains 200 chips.
I, [2014-01-25T12:22:17.292738 #4310]  INFO -- : Korda György made a bet of 40 (call) and is left with 760 chips. The pot now contains 240 chips.
I, [2014-01-25T12:22:22.399063 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 950 chips. The pot now contains 240 chips.
I, [2014-01-25T12:22:27.547356 #4310]  INFO -- : community card 4 of Clubs
I, [2014-01-25T12:22:32.997291 #4310]  INFO -- : community card 5 of Spades
I, [2014-01-25T12:22:38.128023 #4310]  INFO -- : community card 7 of Clubs
I, [2014-01-25T12:22:48.416446 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 760 chips. The pot now contains 240 chips.
I, [2014-01-25T12:22:53.547487 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 950 chips. The pot now contains 240 chips.
I, [2014-01-25T12:22:58.727893 #4310]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 970 chips. The pot now contains 320 chips.
I, [2014-01-25T12:23:09.062048 #4310]  INFO -- : Korda György made a bet of 80 (call) and is left with 680 chips. The pot now contains 400 chips.
I, [2014-01-25T12:23:14.187444 #4310]  INFO -- : guest42 made a bet of 0 (fold) and is left with 950 chips. The pot now contains 400 chips.
I, [2014-01-25T12:23:19.311573 #4310]  INFO -- : community card 5 of Clubs
I, [2014-01-25T12:23:29.743916 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 680 chips. The pot now contains 400 chips.
I, [2014-01-25T12:23:35.293741 #4310]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 890 chips. The pot now contains 480 chips.
I, [2014-01-25T12:23:45.707767 #4310]  INFO -- : Korda György made a bet of 80 (call) and is left with 600 chips. The pot now contains 560 chips.
I, [2014-01-25T12:23:50.936772 #4310]  INFO -- : community card 4 of Diamonds
I, [2014-01-25T12:24:01.379676 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 600 chips. The pot now contains 560 chips.
