# Logfile created on 2014-01-25 16:41:09 +0100 by logger.rb/44203
I, [2014-01-25T16:41:17.420934 #12199]  INFO -- : devill has 580 chips
I, [2014-01-25T16:41:17.421226 #12199]  INFO -- : Jim Java has 880 chips
I, [2014-01-25T16:41:17.421390 #12199]  INFO -- : Korda György has 1540 chips
I, [2014-01-25T16:41:17.422392 #12199]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T16:41:17.457665 #12199]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T16:41:17.458755 #12199]  INFO -- : devill got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T16:41:17.460122 #12199]  INFO -- : Jim Java got hole card 5 of Spades (5, Spades)
I, [2014-01-25T16:41:17.493824 #12199]  INFO -- : Korda György got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T16:41:17.494773 #12199]  INFO -- : devill got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T16:41:17.528407 #12199]  INFO -- : Jim Java made a bet of 80 (raise) and is left with 800 chips. The pot now contains 80 chips.
